address,city,zip,beds,bathf,bathp,carg,price,pid,sqft,lotsize,soldat,listedat,schname,schaddr,schgd,schdist,schdstr
1806 Jefferson Avenue,Saint Paul,55105,4,1,1,3,375000,pid_21141306/,1692,,,,,,,,
5608 Vincent Avenue S,Minneapolis,55410,3,1,2,3,480000,pid_20668634/,2040,,,,,,,,
4611 Dupont Avenue S,Minneapolis,55419,4,1,1,3,750000,pid_19921831/,2650,,,,,,,,
3751 Pillsbury Avenue S,Minneapolis,55409,3,1,1,1,314900,pid_19792441/,1620,,,,,,,,
2823 Grand Street NE,Minneapolis,55418,2,1,0,3,200000,pid_21346332/,960,,,,,,,,
3823 Upton Avenue N,Minneapolis,55412,3,2,0,2,230000,pid_21246215/,1692,,,,,,,,
3815 Penn Avenue N,Minneapolis,55412,3,1,0,3,149000,pid_21178785/,1968,,,,,,,,
5246 13th Avenue S,Minneapolis,55417,3,1,0,2,347150,pid_21032792/,1450,,,,,,,,
1243 Fremont Avenue,Saint Paul,55106,2,2,0,2,137000,pid_20857445/,1405,,,,,,,,
2931 Tyler Street NE,Minneapolis,55418,4,2,2,3,404400,pid_20213974/,560,,,,,,,,
1860 Laurel Avenue,Saint Paul,55104,4,2,0,3,390000,pid_19952719/,2281,,,,,,,,
801 Lafond Avenue,Saint Paul,55104,2,1,0,2,80150,pid_19647964/,1044,,,,,,,,
3315 Bryant Avenue N,Minneapolis,55412,3,1,0,3,90000,pid_19162785/,1248,,,,,,,,
5424 Bryant Avenue S,Minneapolis,55419,3,2,0,3,410000,pid_19108522/,1955,,,,,,,,
861 Albert Street N,Saint Paul,55104,6,2,0,4,259000,pid_18760879/,2250,,,,,,,,
1677 Juno Avenue,Saint Paul,55116,4,1,3,3,560000,pid_18420831/,2182,,,,,,,,
512 W 34th Street,Minneapolis,55408,3,1,1,3,389000,pid_21204968/,1344,,,,,,,,
1856 Wordsworth Avenue,Saint Paul,55116,4,1,0,3,280000,pid_21103498/,1648,,,,,,,,
1036 Milton Street N,Saint Paul,55103,1,1,0,2,116000,pid_21006974/,705,,,,,,,,
4905 29th Avenue S,Minneapolis,55417,3,1,0,2,185000,pid_20701173/,1325,,,,,,,,
2058 James Avenue,Saint Paul,55105,4,1,1,3,316500,pid_20684596/,1999,,,,,,,,
1675 Woodbridge Street,Saint Paul,55117,3,1,0,2,105000,pid_20671466/,2310,,,,,,,,
3023 Newton Avenue N,Minneapolis,55411,2,2,0,3,93000,pid_20629643/,1004,,,,,,,,
4740 Nicollet Avenue,Minneapolis,55419,3,1,0,2,275000,pid_20347187/,1308,,,,,,,,
1501 Thomas Avenue N,Minneapolis,55411,3,1,1,2,167600,pid_20338000/,1757,,,,,,,,
2008 Seabury Avenue,Minneapolis,55406,3,2,2,3,365000,pid_20155695/,1330,,,,,,,,
2701 N Oliver Avenue,Minneapolis,55411,5,2,1,3,245000,pid_19491584/,2124,,,,,,,,
141 Belvidere Street E,Saint Paul,55107,5,1,1,2,245000,pid_21690398/,2004,,,,,,,,
1685 Watson Avenue,Saint Paul,55116,3,1,0,2,203000,pid_21318991/,1108,,,,,,,,
2652 Fremont Avenue N,Minneapolis,55411,4,3,3,3,190000,pid_21301493/,2474,,,,,,,,
1978 Case Avenue E,Saint Paul,55119,1,1,0,3,112000,pid_21283423/,800,,,,,,,,
897 Central Avenue W,Saint Paul,55104,2,1,0,1,116400,pid_21282999/,720,,,,,,,,
3520 21st Avenue S,Minneapolis,55407,3,2,0,3,280000,pid_21251971/,1514,,,,,,,,
4220 42nd Avenue S,Minneapolis,55406,3,1,1,3,272300,pid_21249782/,1636,,,,,,,,
1344 Logan Avenue N,Minneapolis,55411,4,1,2,3,218000,pid_21228331/,1456,,,,,,,,
1098 Margaret Street,Saint Paul,55106,4,1,0,1,108000,pid_21109986/,1483,,,,,,,,
471 White Bear Avenue N,Saint Paul,55106,3,1,1,2,122500,pid_20992279/,1440,,,,,,,,
4951 N 4th Court N,Minneapolis,55430,5,1,1,3,175000,pid_20947638/,1736,,,,,,,,
1081 Laurel Avenue,Saint Paul,55104,4,1,0,1,252735,pid_19572328/,2300,,,,,,,,
1312 17th Avenue N,Minneapolis,55411,3,1,0,3,90000,pid_21349197/,1433,,,,,,,,
4720 Zenith Avenue S,Minneapolis,55410,4,1,1,3,435000,pid_21036257/,1712,,,,,,,,
1217 Arkwright Street,Saint Paul,55130,4,2,0,3,160000,pid_20980942/,1138,,,,,,,,
6129 Thomas Avenue S,Minneapolis,55410,3,1,0,3,274900,pid_20788163/,1587,,,,,,,,
4138 40th Avenue S,Minneapolis,55406,2,1,0,2,260225,pid_20304546/,1178,,,,,,,,
4003 S Nokomis Avenue,Minneapolis,55406,2,1,1,2,175300,pid_20280402/,654,,,,,,,,
794 Cottage Avenue E,Saint Paul,55106,4,1,1,2,214900,pid_20189337/,1625,,,,,,,,
3010 Russell Avenue N,Minneapolis,55411,3,2,0,3,145000,pid_21218551/,1886,,,,,,,,
1370 Wellesley Avenue,Saint Paul,55105,2,1,0,1,199000,pid_21197384/,1042,,,,,,,,
4700 Washburn Avenue N,Minneapolis,55430,4,1,0,3,220975,pid_21144792/,1958,,,,,,,,
6115 15th Avenue S,Minneapolis,55423,3,1,1,3,249900,pid_21102776/,2640,,,,,,,,
4153 Drew Avenue S,Minneapolis,55410,3,1,0,3,397100,pid_21064701/,1532,,,,,,,,
737 Wilson Avenue,Saint Paul,55106,4,1,1,3,200747,pid_21042562/,1708,,,,,,,,
4837 Zenith Avenue S,Minneapolis,55410,2,1,0,2,291000,pid_21015745/,1014,,,,,,,,
